"","home","away","GH","GA"
"1","Iraklis","Xanthi",0,1
"2","Levadiakos","PAOK",0,1
"3","Kerkira","Atromitos",1,1
"4","AEK","Panaitolikos",0,0
"5","AEL","Veroia",2,1
"6","Olympiacos","Asteras",2,1
"7","Panionios","PAS",1,1
"8","Platanias","PAO",1,0
"9","Atromitos","Levadiakos",2,0
"10","Asteras","AEK",3,2
"11","PAOK","PAS",0,1
"12","Panaitolikos","Panionios",0,2
"13","Platanias","AEL",3,2
"14","Xanthi","Olympiacos",0,2
"15","PAO","Kerkira",1,0
"16","Veroia","Iraklis",0,2
"17","Kerkira","Platanias",0,1
"18","Panionios","Asteras",3,0
"19","Levadiakos","PAO",0,3
"20","AEK","Xanthi",4,1
"21","PAOK","Panaitolikos",2,1
"22","PAS","Atromitos",3,0
"23","Olympiacos","Veroia",6,1
"24","AEL","Iraklis",2,2
"25","Xanthi","Panionios",0,2
"26","Platanias","Levadiakos",3,2
"27","Veroia","AEK",0,2
"28","PAO","PAS",4,0
"29","Kerkira","AEL",2,0
"30","Atromitos","Panaitolikos",0,2
"31","Iraklis","Olympiacos",1,2
"32","Asteras","PAOK",1,2
"33","PAS","Platanias",0,0
"34","Panionios","Veroia",1,2
"35","Panaitolikos","PAO",0,0
"36","PAOK","Xanthi",0,0
"37","Atromitos","Asteras",1,0
"38","Levadiakos","Kerkira",2,1
"39","AEL","Olympiacos",1,0
"40","AEK","Iraklis",0,0
"41","Kerkira","PAS",0,1
"42","Levadiakos","AEL",1,1
"43","Iraklis","Panionios",1,2
"44","Veroia","PAOK",0,0
"45","PAO","Asteras",3,1
"46","Platanias","Panaitolikos",0,0
"47","Olympiacos","AEK",3,0
"48","Xanthi","Atromitos",0,0
"49","Panaitolikos","Kerkira",4,0
"50","Asteras","Platanias",2,0
"51","Panionios","Olympiacos",0,2
"52","PAO","Xanthi",1,2
"53","Atromitos","Veroia",1,0
"54","PAOK","Iraklis",1,0
"55","AEL","AEK",1,2
"56","PAS","Levadiakos",0,0
"57","Kerkira","Asteras",2,0
"58","Platanias","Xanthi",0,1
"59","AEK","Panionios",0,0
"60","Iraklis","Atromitos",1,2
"61","Levadiakos","Panaitolikos",2,1
"62","PAS","AEL",4,0
"63","Olympiacos","PAOK",2,1
"64","Veroia","PAO",1,1
"65","AEL","Panionios",2,0
"66","Xanthi","Kerkira",0,0
"67","Atromitos","Olympiacos",0,1
"68","PAO","Iraklis",2,0
"69","Asteras","Levadiakos",1,0
"70","Veroia","Platanias",0,0
"71","PAOK","AEK",1,0
"72","Panaitolikos","PAS",1,2
"73","PAS","Asteras",1,2
"74","Levadiakos","Xanthi",1,1
"75","AEK","Atromitos",2,2
"76","Panaitolikos","AEL",2,1
"77","Kerkira","Veroia",2,0
"78","Panionios","PAOK",1,0
"79","Olympiacos","PAO",3,0
"80","Iraklis","Platanias",1,1
"81","Veroia","Levadiakos",2,0
"82","Platanias","Olympiacos",2,2
"83","Asteras","Panaitolikos",4,1
"84","Atromitos","Panionios",1,2
"85","Xanthi","PAS",2,0
"86","PAO","AEK",0,0
"87","Iraklis","Kerkira",0,0
"88","AEL","PAOK",0,2
"89","PAS","Veroia",2,0
"90","Asteras","AEL",1,1
"91","AEK","Platanias",3,0
"92","Olympiacos","Kerkira",0,0
"93","Levadiakos","Iraklis",3,0
"94","Panaitolikos","Xanthi",2,3
"95","Panionios","PAO",1,1
"96","PAOK","Atromitos",3,4
"97","Platanias","Panionios",1,1
"98","Veroia","Panaitolikos",1,1
"99","Kerkira","AEK",1,1
"100","Olympiacos","Levadiakos",4,0
"101","Xanthi","Asteras",3,1
"102","AEL","Atromitos",1,2
"103","PAO","PAOK",1,0
"104","Iraklis","PAS",2,1
"105","Asteras","Veroia",0,0
"106","Xanthi","AEL",1,0
"107","AEK","Levadiakos",4,0
"108","Panaitolikos","Iraklis",2,0
"109","Panionios","Kerkira",1,0
"110","PAOK","Platanias",3,0
"111","Atromitos","PAO",0,1
"112","PAS","Olympiacos",0,2
"113","Veroia","Xanthi",0,4
"114","Platanias","Atromitos",3,0
"115","Kerkira","PAOK",0,5
"116","Olympiacos","Panaitolikos",3,1
"117","Iraklis","Asteras",1,1
"118","Levadiakos","Panionios",1,4
"119","AEL","PAO",0,0
"120","AEK","PAS",1,1
"121","Atromitos","Kerkira",1,4
"122","PAS","Panionios",1,0
"123","Panaitolikos","AEK",3,2
"124","Veroia","AEL",1,1
"125","Xanthi","Iraklis",3,1
"126","Asteras","Olympiacos",0,0
"127","PAOK","Levadiakos",3,0
"128","PAO","Platanias",2,1
"129","Iraklis","Veroia",1,1
"130","Panionios","Panaitolikos",2,0
"131","Olympiacos","Xanthi",2,0
"132","AEK","Asteras",2,0
"133","AEL","Platanias",0,0
"134","Levadiakos","Atromitos",1,1
"135","Kerkira","PAO",1,1
"136","PAS","PAOK",0,1
"137","Iraklis","AEL",1,1
"138","Asteras","Panionios",1,1
"139","Xanthi","AEK",0,0
"140","PAO","Levadiakos",0,0
"141","Atromitos","PAS",1,1
"142","Panaitolikos","PAOK",0,1
"143","Platanias","Kerkira",2,1
"144","Veroia","Olympiacos",1,2
"145","AEL","Kerkira",1,1
"146","Panaitolikos","Atromitos",2,0
"147","PAS","PAO",1,1
"148","AEK","Veroia",6,0
"149","Panionios","Xanthi",2,0
"150","PAOK","Asteras",3,2
"151","Olympiacos","Iraklis",3,0
"152","Levadiakos","Platanias",1,2
"153","Veroia","Panionios",0,1
"154","Asteras","Atromitos",0,1
"155","Olympiacos","AEL",2,0
"156","Kerkira","Levadiakos",1,0
"157","Platanias","PAS",3,3
"158","Xanthi","PAOK",0,0
"159","PAO","Panaitolikos",4,0
"160","Iraklis","AEK",2,2
"161","Atromitos","Xanthi",2,1
"162","PAS","Kerkira",1,0
"163","Asteras","PAO",0,5
"164","Panionios","Iraklis",1,0
"165","Panaitolikos","Platanias",1,2
"166","PAOK","Veroia",4,0
"167","AEK","Olympiacos",1,0
"168","AEL","Levadiakos",2,1
"169","Platanias","Asteras",3,0
"170","Kerkira","Panaitolikos",0,0
"171","Xanthi","PAO",1,0
"172","AEK","AEL",3,0
"173","Iraklis","PAOK",1,1
"174","Levadiakos","PAS",2,1
"175","Olympiacos","Panionios",0,1
"176","Veroia","Atromitos",0,1
"177","AEL","PAS",1,1
"178","Panaitolikos","Levadiakos",2,0
"179","PAO","Veroia",5,0
"180","Atromitos","Iraklis",1,0
"181","Asteras","Kerkira",1,2
"182","Xanthi","Platanias",1,0
"183","PAOK","Olympiacos",2,0
"184","Panionios","AEK",1,1
"185","PAS","Panaitolikos",0,0
"186","Panionios","AEL",1,0
"187","Iraklis","PAO",1,1
"188","Kerkira","Xanthi",1,0
"189","Olympiacos","Atromitos",2,0
"190","Platanias","Veroia",1,0
"191","AEK","PAOK",3,0
"192","Levadiakos","Asteras",1,1
"193","Veroia","Kerkira",4,0
"194","AEL","Panaitolikos",1,0
"195","Atromitos","AEK",0,1
"196","PAOK","Panionios",1,0
"197","Asteras","PAS",1,1
"198","Xanthi","Levadiakos",2,2
"199","PAO","Olympiacos",1,0
"200","Platanias","Iraklis",1,0
"201","PAS","Xanthi",1,1
"202","Levadiakos","Veroia",3,1
"203","Olympiacos","Platanias",2,1
"204","Panionios","Atromitos",2,1
"205","Kerkira","Iraklis",0,3
"206","Panaitolikos","Asteras",1,1
"207","PAOK","AEL",2,0
"208","AEK","PAO",2,3
"209","Xanthi","Panaitolikos",3,0
"210","Iraklis","Levadiakos",1,0
"211","Atromitos","PAOK",0,2
"212","AEL","Asteras",1,4
"213","Veroia","PAS",3,0
"214","Kerkira","Olympiacos",0,2
"215","PAO","Panionios",1,0
"216","Platanias","AEK",0,2
"217","AEK","Kerkira",5,0
"218","Asteras","Xanthi",0,0
"219","Atromitos","AEL",0,0
"220","Levadiakos","Olympiacos",1,1
"221","Panaitolikos","Veroia",1,0
"222","Panionios","Platanias",1,1
"223","PAOK","PAO",3,0
"224","PAS","Iraklis",1,2
"225","Kerkira","Panionios",1,0
"226","Iraklis","Panaitolikos",2,1
"227","AEL","Xanthi",1,0
"228","Levadiakos","AEK",0,2
"229","Olympiacos","PAS",5,0
"230","PAO","Atromitos",1,0
"231","Platanias","PAOK",1,3
"232","Veroia","Asteras",4,3
"233","Asteras","Iraklis",2,2
"234","Atromitos","Platanias",4,1
"235","PAO","AEL",2,0
"236","Panaitolikos","Olympiacos",0,2
"237","Panionios","Levadiakos",1,3
"238","PAOK","Kerkira",5,1
"239","PAS","AEK",1,1
"240","Xanthi","Veroia",3,0
